25420,7907
25440,7822
25460,7820
25480,7742
25500,7943
25520,7831
25540,7841
25560,7972
25580,7924
25600,7869
25620,7981
25640,8001
25660,7913
25680,8012
25700,7937
25720,7945
25740,7996
25760,7963
25780,7986
25800,8070
25820,8099
25840,8005
25860,8122
25880,8038
25900,8026
25920,8194
25940,8086
25960,8074
25980,8189
26000,8085
26020,8111
26040,8212
26060,8122
26080,8239
26100,8260
26120,8160
26140,8359
26160,8314
26180,8241
26200,8265
26220,8273
26240,8242
26260,8353
26280,8244
26300,8304
26320,8377
26340,8317
26360,8370
26380,8489
26400,8582
26420,8369
26440,8383
26460,8398
26480,8397
26500,8514
26520,8513
26540,8438
26560,8587
26580,8538
26600,8507
26620,8659
26640,8510
26660,8738
26680,8547
26700,8551
26720,8815
26740,8574
26760,8581
26780,8599
26800,8620
26820,8614
26840,8740
26860,8804
26880,8892
26900,8686
26920,8837
26940,8852
26960,9302
26980,9497
27000,8845
27020,8744
27040,8749
27060,9236
27080,8880
27100,9351
27120,9977
27140,9789
27160,10262
