10,128,0
20,518,0
30,1123,0
40,2003,0
50,3147,1
60,4561,3
70,6106,5
80,8031,8
90,10057,11
100,12494,16
110,15212,23
120,17863,29
130,21007,37
140,24421,48
150,28177,58
160,31818,77
170,35822,87
180,40384,98
190,44873,116
200,49663,128
